FS_Method,Classifier,N_Features,Category,MAE,Spearman,Kappa,AAcc,MAE_CI_lo,MAE_CI_hi,Spearman_CI_lo,Spearman_CI_hi,Kappa_CI_lo,Kappa_CI_hi,AAcc_CI_lo,AAcc_CI_hi,norm_MAE,norm_Spearman,norm_Kappa,norm_AAcc,Composite
Ridge,KNN-reg(k=5),8,embedded,0.4528301886792453,0.6601039199255464,0.5754775107825015,0.9811320754716981,0.32075471698113206,0.6037735849056604,0.49577529306454915,0.790594270671773,0.4517052057534769,0.6984953011707341,0.9433962264150944,1.0,0.6923076923076923,0.7952424932449232,0.7608646255655072,1.0,0.8121037027795307
Ridge,SVR(rbf),8,embedded,0.5471698113207547,0.5049366479271405,0.37436762225969644,0.9811320754716981,0.39622641509433965,0.7169811320754716,0.31853598335645167,0.6758153178701388,0.21172353455818016,0.5562673529132132,0.9433962264150944,1.0,0.3076923076923077,0.3184454778342537,0.14521978329125249,1.0,0.44283939220445345
Ridge,RandomForest-R,8,embedded,0.49056603773584906,0.5870592909928135,0.5339976553341149,0.9622641509433962,0.33962264150943394,0.6415094339622641,0.38171931120275227,0.7439878154854277,0.35955700108899735,0.6776488348570163,0.9056603773584906,1.0,0.5384615384615384,0.5707914178450497,0.6338849964052777,0.5,0.5607844881779664
RF Importance,KNN-reg(k=5),8,embedded,0.5283018867924528,0.5362975443586189,0.4718640093786636,0.9433962264150944,0.37735849056603776,0.6981132075471698,0.31904893968762205,0.7149748636570001,0.2790373212417161,0.629820832068023,0.8679245283018868,1.0,0.3846153846153846,0.414811042727897,0.443679239019904,0.0,0.3107764165907964
RF Importance,SVR(rbf),8,embedded,0.49056603773584906,0.5676744835954377,0.41151977793199157,0.9811320754716981,0.33962264150943394,0.660377358490566,0.3801185312017158,0.7392165500202034,0.2416776512198451,0.5999409222713188,0.9433962264150944,1.0,0.5384615384615384,0.5112259038526763,0.2589513018506943,1.0,0.5771596860412272
RF Importance,RandomForest-R,8,embedded,0.4528301886792453,0.6779991697387355,0.5889021479713603,0.9811320754716981,0.3018867924528302,0.6037735849056604,0.5188638123071717,0.8033802472988502,0.4633797207794615,0.7067224168781032,0.9433962264150944,1.0,0.6923076923076923,0.8502309040809698,0.8019606089874604,1.0,0.8361248013440306
Extra Trees,KNN-reg(k=5),8,embedded,0.49056603773584906,0.5860672933558374,0.48841698841698844,0.9622641509433962,0.33962264150943394,0.6415094339622641,0.37637923471137025,0.7541557263824086,0.31378522467631376,0.6418918918918919,0.9056603773584906,1.0,0.5384615384615384,0.5677432137584978,0.4943518153117603,0.5,0.5251391418829492
Extra Trees,SVR(rbf),8,embedded,0.41509433962264153,0.6977708830299552,0.5742971887550201,0.9811320754716981,0.2830188679245283,0.5660377358490566,0.5436533861570104,0.8212843216331079,0.44980098081018804,0.6922183507549362,0.9433962264150944,1.0,0.8461538461538461,0.9109853000653616,0.75725138121547,1.0,0.8785976318586695
Extra Trees,RandomForest-R,8,embedded,0.39622641509433965,0.685621897074047,0.6320466537073035,0.9622641509433962,0.24528301886792453,0.5471698113207547,0.4964026793202612,0.83410640487264,0.4559867582869076,0.7800864950002316,0.9056603773584906,1.0,0.9230769230769231,0.8736539725924994,0.9340361256311555,0.5,0.8076917553251445
Gradient Boosting,KNN-reg(k=5),8,embedded,0.5283018867924528,0.5362975443586189,0.4718640093786636,0.9433962264150944,0.3584905660377358,0.6981132075471698,0.3133173376038415,0.7286849147460366,0.2764987959210882,0.6431150021616947,0.8679245283018868,1.0,0.3846153846153846,0.414811042727897,0.443679239019904,0.0,0.3107764165907964
