llm,ml,alpha,MAE,Spearman,Kappa,AAcc
qwen2.5_72b,ExtraTrees,0.75,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,ExtraTrees,0.8,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,ExtraTrees,0.85,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,ExtraTrees,0.9,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,ExtraTrees,0.95,0.5471698113207547,0.49624444417429997,0.5260261407933962,0.9056603773584906
qwen2.5_72b,ExtraTrees,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.9056603773584906
qwen2.5_72b,SVR,0.0,0.6037735849056604,0.4185676025610635,0.3148028442146089,0.9622641509433962
qwen2.5_72b,SVR,0.05,0.660377358490566,0.31456575288254485,0.23799327011318439,0.9245283018867925
qwen2.5_72b,SVR,0.1,0.6415094339622641,0.33726684223662234,0.27267303102625295,0.9245283018867925
qwen2.5_72b,SVR,0.15,0.6037735849056604,0.3980416840283803,0.35601458080194426,0.9245283018867925
qwen2.5_72b,SVR,0.2,0.5849056603773585,0.4177770681452117,0.38755555555555554,0.9245283018867925
qwen2.5_72b,SVR,0.25,0.5849056603773585,0.42959301439071224,0.3957907044723765,0.9245283018867925
qwen2.5_72b,SVR,0.3,0.5660377358490566,0.43835235256217414,0.44210526315789467,0.9245283018867925
qwen2.5_72b,SVR,0.35,0.5283018867924528,0.4768332673909754,0.49470338983050843,0.9245283018867925
qwen2.5_72b,SVR,0.4,0.49056603773584906,0.5177927106033078,0.5227754237288136,0.9245283018867925
qwen2.5_72b,SVR,0.45,0.49056603773584906,0.5177927106033078,0.5227754237288136,0.9245283018867925
qwen2.5_72b,SVR,0.5,0.5471698113207547,0.4325557859899208,0.4500126550240444,0.8867924528301887
qwen2.5_72b,SVR,0.55,0.5660377358490566,0.44060916153420226,0.4544117647058824,0.8867924528301887
qwen2.5_72b,SVR,0.6,0.5849056603773585,0.4488495020457566,0.45854122119268237,0.8867924528301887
qwen2.5_72b,SVR,0.65,0.5849056603773585,0.4488495020457566,0.45854122119268237,0.8867924528301887
qwen2.5_72b,SVR,0.7,0.5849056603773585,0.4488495020457566,0.45854122119268237,0.8867924528301887
qwen2.5_72b,SVR,0.75,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,SVR,0.8,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,SVR,0.85,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,SVR,0.9,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,SVR,0.95,0.5660377358490566,0.47156975033011805,0.5112955278930382,0.9056603773584906
qwen2.5_72b,SVR,1.0,0.5283018867924528,0.5213614960581507,0.5406021897810218,0.9056603773584906
qwen2.5_72b,Ridge,0.0,0.5283018867924528,0.5593348276648207,0.5538720538720538,0.9811320754716981
qwen2.5_72b,Ridge,0.05,0.5283018867924528,0.5702061637590942,0.5595567867036011,0.9811320754716981
qwen2.5_72b,Ridge,0.1,0.49056603773584906,0.5834092059501783,0.5836139169472503,0.9811320754716981
qwen2.5_72b,Ridge,0.15,0.49056603773584906,0.5834092059501783,0.5836139169472503,0.9811320754716981
qwen2.5_72b,Ridge,0.2,0.49056603773584906,0.5834092059501783,0.5836139169472503,0.9811320754716981
qwen2.5_72b,Ridge,0.25,0.4528301886792453,0.6065670225362176,0.6015037593984962,0.9811320754716981
qwen2.5_72b,Ridge,0.3,0.4339622641509434,0.5989447275600326,0.606110652353427,0.9622641509433962
qwen2.5_72b,Ridge,0.35,0.4339622641509434,0.5867297860494668,0.6125101543460602,0.9622641509433962
qwen2.5_72b,Ridge,0.4,0.41509433962264153,0.60262893628811,0.635063559322034,0.9622641509433962
